no_trial,block
0,straight
1,messy
2,straight
3,messy
4,messy
5,straight
6,straight
7,straight
8,messy
9,messy
10,straight
11,messy
12,straight
13,special
14,messy
15,messy
16,straight
17,messy
18,messy
19,messy
20,messy
21,straight
22,straight
23,straight
24,straight
25,messy
26,straight
27,messy
28,straight
29,messy
30,messy
31,straight
32,messy
33,special
34,messy
35,messy
36,straight
37,straight
38,messy
39,straight
40,straight
41,messy
42,messy
43,messy
44,straight
45,messy
46,straight
47,straight
48,straight
49,messy
50,special
51,messy
52,special
53,messy
54,straight
55,straight
56,straight
57,messy
58,straight
59,straight
60,straight
61,messy
62,straight
63,messy
64,straight
65,messy
66,messy
67,messy
68,straight
69,straight
70,messy
71,messy
72,straight
73,straight
74,straight
75,straight
76,messy
77,straight
78,messy
79,straight
80,straight
81,straight
82,messy
83,straight
84,straight
85,straight
86,straight
87,messy
88,straight
89,messy
90,messy
91,straight
92,messy
93,special
94,messy
95,straight
96,messy
97,messy
98,straight
99,straight
