,no_trial,type
0,0,straight
1,1,messy
2,2,straight
3,3,messy
4,4,messy
5,5,straight
6,6,straight
7,7,straight
8,8,messy
9,9,messy
10,10,straight
11,11,messy
12,12,straight
13,13,straight
14,14,messy
15,15,messy
16,16,straight
17,17,messy
18,18,messy
19,19,messy
20,20,messy
21,21,straight
22,22,straight
23,23,straight
24,24,straight
25,25,messy
26,26,straight
27,27,messy
28,28,straight
29,29,messy
30,30,messy
31,31,straight
32,32,messy
33,33,straight
34,34,messy
35,35,messy
36,36,straight
37,37,straight
38,38,messy
39,39,straight
40,40,straight
41,41,messy
42,42,messy
43,43,messy
44,44,straight
45,45,messy
46,46,straight
47,47,straight
48,48,straight
49,49,messy
50,50,straight
51,51,messy
52,52,straight
53,53,messy
54,54,straight
55,55,straight
56,56,straight
57,57,messy
58,58,straight
59,59,straight
60,60,straight
61,61,messy
62,62,straight
63,63,messy
64,64,straight
65,65,messy
66,66,messy
67,67,messy
68,68,straight
69,69,straight
70,70,messy
71,71,messy
72,72,straight
73,73,straight
74,74,straight
75,75,straight
76,76,messy
77,77,straight
78,78,messy
79,79,straight
80,80,straight
81,81,straight
82,82,messy
83,83,straight
84,84,straight
85,85,straight
86,86,straight
87,87,messy
88,88,straight
89,89,messy
90,90,messy
91,91,straight
92,92,messy
93,93,straight
94,94,messy
95,95,straight
96,96,messy
97,97,messy
98,98,straight
99,99,straight
