0,1,2,3,4,5,6
,Success rate,,,Average reaction time,,
,OCD,Healthy Control,,OCD,Healthy Control,
Seven_diff,Mean,Mean,p-value,Mean,Mean,p-value
,33.227,39.554,0.019,1.933,1.009,0.095
shocking,22.0,25.565,0.063,1.589,1.019,0.101
non-shocking,26.182,28.0,0.414,1.931,1.041,0.067
calligraphy,47.636,60.87,0.019,1.658,0.917,0.143
chess,35.807,42.465,0.188,2.43,1.022,0.101
Lucifer,,,,,,
,71.727,78.913,0.097,3.462,1.788,0.099
straight,71.273,80.522,0.034,3.241,1.87,0.115
messy,73.535,78.647,0.425,3.614,1.592,0.092
special,60.0,65.217,0.653,4.315,2.721,0.136
Symmetry,,,,,,
,81.577,85.609,0.234,1.111,0.585,0.044
Where Is Tockie,,,,,,
,73.123,76.009,0.11,2.871,2.428,0.123
